scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,58.126005,-134.159125,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.854924,-149.702454,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-62.988037,-63.506882,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-41.6,148.6,2012.0,415.5,,HumanObservation,
Orcinus orca,60.210167,-1.399333,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.368167,-2.368,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.677438,-149.51642,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.633333,-3.158333,2012.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.129833,-1.293667,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.39433,-133.715,1992.0,,,HumanObservation,"NMML Harbor Porpoise Vessel Survey, SE Alaska, Summer 1992"
Orcinus orca,48.945598,-123.344833,2010.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-38.45,141.53,1991.0,,Australia,HumanObservation,
Orcinus orca,58.711367,-2.963217,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-54.618147,158.940139,2025.0,,,HumanObservation,Happywhale - Killer whale in South Pacific Ocean
Orcinus orca,48.458488,-122.946911,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.786667,-3.30305,2016.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,70.0979,20.9839,2022.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,58.41258,-134.979005,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.67,16.17,1996.0,,,HumanObservation,
Orcinus orca,52.446978,158.494372,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.120955,-1.182338,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.62,-122.43,1989.0,,,HumanObservation,UK Royal Navy Marine Mammal Observations
Orcinus orca,58.352537,-134.716108,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.380691,15.976868,2022.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,56.704488,-132.953871,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.08,15.13,2004.0,,,HumanObservation,
Orcinus orca,68.47,12.3,2005.0,,,HumanObservation,
Orcinus orca,48.865917,-123.308117,2012.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,60.1655,-1.379167,2020.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,74.35,26.02,1999.0,,,HumanObservation,
Orcinus orca,-54.6667,158.8899,1997.0,,Australia,HumanObservation,
Orcinus orca,-64.899485,-63.264835,2022.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,50.033333,-5.666667,1975.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,48.871,-123.2994,2020.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,48.863833,-123.33805,2017.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,57.4955,-134.814306,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.535052,-135.062302,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-35.72,136.72,1991.0,,Australia,HumanObservation,
Orcinus orca,58.68345,-3.158483,2022.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.318447,-134.669828,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,67.78,9.95,2002.0,,,HumanObservation,
Orcinus orca,60.4745,-1.1302,2016.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.748873,-121.901737,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-44.0,146.1,2013.0,534.125,,HumanObservation,
Orcinus orca,36.806005,-121.825005,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,56.383333,-6.25,2002.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,55.363888,-131.724958,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.167217,-2.8264,2020.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.73,3.68,2002.0,,,HumanObservation,
Orcinus orca,57.598205,-134.7977,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.9,2.15,1997.0,,,HumanObservation,
Orcinus orca,66.87,11.42,1986.0,,,HumanObservation,
Orcinus orca,58.20955,-134.459812,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.934993,-63.633908,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.207152,-134.713497,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,64.83,-0.87,1999.0,,,HumanObservation,
Orcinus orca,22.790149,-109.871349,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.334333,-1.4495,2019.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,69.629513,17.341919,2023.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,60.657333,-0.657333,2008.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.983333,-2.700667,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,71.38,19.2,1994.0,,,HumanObservation,
Orcinus orca,58.187682,-3.479525,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,65.38,11.97,1999.0,,,HumanObservation,
Orcinus orca,48.8625,-123.3438,2001.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,75.28,17.92,1984.0,,,HumanObservation,
Orcinus orca,62.87,0.98,2015.0,,,HumanObservation,
Orcinus orca,36.8,-122.0,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,26.083333,-111.270833,1991.0,,,HumanObservation,Mingan Island Cetacean Study 84-07
Orcinus orca,48.8704,-123.3093,2016.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,19.7667,-80.067,2008.0,,,HumanObservation,Killer whales of the Caribbean Sea 1866-2012
Orcinus orca,27.5342,-88.8645,1993.0,,,HumanObservation,SEFSC GoMex Oceanic 1993 (S)
Orcinus orca,-38.8,141.9,2015.0,411.25,,HumanObservation,
Orcinus orca,51.437833,-5.311667,1996.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,48.029971,-122.632356,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.459,-1.309333,2018.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.6236,-3.6496,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-62.554143,-61.969412,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,58.51,-134.92,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.9,-63.24,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,65.060732,-23.715878,2022.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,60.2,5.18,2005.0,,,HumanObservation,
Orcinus orca,44.52167,-124.48333,1990.0,,,HumanObservation,"MMS Marine Mammal Survey, PNW 1989-1990"
Orcinus orca,-62.992988,-60.530289,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,58.162259,-135.483398,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.883441,-149.456745,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.393138,-135.97267,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-34.647944,119.521842,2025.0,,,HumanObservation,Happywhale - Killer whale in Indian Ocean
Orcinus orca,65.8,6.35,2002.0,,,HumanObservation,
Orcinus orca,-63.931797,-61.260068,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.5,-1.783333,1981.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-64.71094,-62.952901,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,58.280083,-135.670465,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.6,-147.0,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.091248,-61.402373,2022.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,58.52259,-134.852599,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.460625,-134.924577,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,71.92,2.58,1998.0,,,HumanObservation,
Orcinus orca,33.828608,-118.66951,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.346133,-3.15,2005.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.7721,-149.579029,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.453796,-134.936829,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,47.28163,-122.664302,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.854117,-1.281467,2011.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.914727,-122.003867,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,53.936673,-10.04013,1954.0,,,HumanObservation,United Kingdom National Whale Stranding Database 1913-2008
Orcinus orca,58.380836,-134.782965,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,69.73,15.65,1994.0,,,HumanObservation,
Orcinus orca,-38.3086,144.6114,2005.0,,Australia,HumanObservation,
Orcinus orca,36.531692,-122.047842,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.34,-134.72,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.17,2.7,1998.0,,,HumanObservation,
Orcinus orca,71.17,24.03,2010.0,,,HumanObservation,
Orcinus orca,36.7698,-121.9415,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.569492,-122.037255,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-68.67,-56.396667,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,36.790992,-121.922045,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.859,-123.3121,2018.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,59.633333,-0.516667,2009.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-63.404493,-55.253178,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,60.485078,-1.678567,2014.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.8455,-1.30155,2004.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-61.410298,-57.610593,2026.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-64.829703,-63.168016,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-36.004,81.942,2003.0,,,HumanObservation,SIO Marine Bird and Mammal Survey 2003
Orcinus orca,-64.142725,-63.095373,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,36.74317,-121.983038,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-37.7,77.8,2015.0,541.5882353,,HumanObservation,
Orcinus orca,68.3,15.72,2005.0,,,HumanObservation,
Orcinus orca,54.94397,166.1521,2008.0,,,HumanObservation,Land-based observations of cetaceans in the waters of Beringa Island in 2007-2009
Orcinus orca,-63.486688,-55.37676,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.70859,-133.54731,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.647833,-3.039167,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,27.14,-114.91,1995.0,,,HumanObservation,"SWFSC Marine Mammal Survey, CADDIS 1995, Cruise 1601"
Orcinus orca,58.866817,-2.948383,2002.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,70.000252,21.107483,2022.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,35.97283,-5.524833,2005.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,48.780644,-122.942188,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.096142,-149.398577,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,9.97,-88.67,1998.0,,,HumanObservation,"SWFSC Marine Mammal Survey, STAR 1998, Cruise 1611"
Orcinus orca,58.6664,-3.003133,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-67.703861,-67.758894,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.713694,-3.425581,2003.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.764,-121.913,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.0,-7.166667,2000.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,54.95297,166.1322,2007.0,,,HumanObservation,Land-based observations of cetaceans in the waters of Beringa Island in 2007-2009
Orcinus orca,-34.17946,18.48178,2023.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,58.233833,-5.4255,2015.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,48.872467,-123.30425,2016.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,56.35,-6.416667,2004.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
Orcinus orca,36.8,-122.0,2017.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.38,2.57,2002.0,,,HumanObservation,
Orcinus orca,35.90297,-5.678417,2004.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,68.87,12.55,2003.0,,,HumanObservation,
Orcinus orca,58.247295,-135.425377,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,20.55,-83.97,1998.0,,,HumanObservation,UK Royal Navy Marine Mammal Observations
Orcinus orca,60.3,-147.0,2016.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,56.232904,-132.900238,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,55.130692,-167.740662,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,38.373951,-28.287484,2019.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,57.475767,-135.130867,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.893329,-146.887471,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.291583,-3.294233,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,37.6777,-25.4158,2019.0,0.0,,HumanObservation,MONICET
Orcinus orca,57.839931,-133.820579,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.265,-7.087,2025.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,-64.007309,-61.211822,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-41.26923,173.9216,2016.0,,New Zealand,HumanObservation,
Orcinus orca,56.00125,-3.39635,2007.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.640252,-136.041244,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-54.5659,158.9271,1993.0,,Australia,HumanObservation,
Orcinus orca,49.978056,-125.205833,2017.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.25,14.95,1980.0,,,HumanObservation,
Orcinus orca,-64.563,-62.52,2019.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-58.333483,-51.103167,2025.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,49.449909,-124.007964,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.2261,15.5769,2006.0,,,HumanObservation,European Seabirds At Sea (ESAS)
Orcinus orca,57.09492,-134.109507,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.6417,-121.8917,2017.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.7,-3.1,2012.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.4645,-1.202167,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.923,-4.838,1999.0,,,HumanObservation,JNCC seabird distribution and abundance data (all trips) from ESAS database
Orcinus orca,36.795333,-121.87,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.717531,-121.955932,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.333525,-134.704605,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,37.6741,-25.57596667,2013.0,0.0,Portugal,HumanObservation,Whale-Watching cetacean occurrences by Futurismo Azores Adventures from 2008 to 2018 off São Miguel (Azores)
Orcinus orca,67.908583,13.068,2024.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,63.395,-168.376694,1983.0,,,HumanObservation,"Marine mammal aerial surveys in the Bering, Chukchi and Beaufort Seas 1979-2010"
Orcinus orca,60.208667,-1.105167,2020.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.806007,-121.880967,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,38.285902,15.673099,2019.0,0.0,,HumanObservation,"Presence of cetaceans in Sicilian waters, Ionian and Tyrrhenian Sea (records 2008-2019)"
Orcinus orca,58.6865,-3.028833,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,48.201613,-125.263776,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,61.55,4.48,1997.0,,,HumanObservation,
Orcinus orca,48.3,-123.24,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.879683,-123.292767,2004.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,70.087139,20.980306,2023.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,58.775167,-2.941333,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.571133,-4.067733,2019.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.8525,-1.267283,2004.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.357354,-134.75196,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-67.967,77.733,1997.0,,Antarctica,HumanObservation,
Orcinus orca,67.53,12.47,1999.0,,,HumanObservation,
Orcinus orca,60.141833,-2.005167,2019.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-54.5296,158.946,1995.0,,Australia,HumanObservation,
Orcinus orca,58.469958,-134.984383,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.357008,-134.864448,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-44.900002,-65.57,2004.0,,Argentina,HumanObservation,
Orcinus orca,-41.4,144.3,2016.0,464.5,,HumanObservation,
Orcinus orca,54.86,-5.68,2006.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.729925,-122.00326,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.17,2.67,2006.0,,,HumanObservation,
Orcinus orca,58.13,-135.48,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.645587,-3.025843,2022.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,59.02,10.53,2003.0,,,HumanObservation,
Orcinus orca,57.814402,-134.92444,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-54.52,158.95,1999.0,0.0,Antarctica::text,HumanObservation,
Orcinus orca,58.348631,-134.810157,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,35.9284,-5.7224,2002.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,36.689741,-122.03476,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.800373,-121.81715,2026.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.367078,-1.3548,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-54.021423,-37.153102,2023.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,57.1175,-2.0525,2002.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.4,2.57,2015.0,,,HumanObservation,
Orcinus orca,55.02292,166.0714,2008.0,,,HumanObservation,Land-based observations of cetaceans in the waters of Beringa Island in 2007-2009
Orcinus orca,60.29082,-1.374753,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,24.57326,-16.93985,2016.0,,,HumanObservation,CETUS
Orcinus orca,58.421262,-134.988152,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-54.6301,158.9041,1994.0,,Australia,HumanObservation,
Orcinus orca,58.473073,-134.931159,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.081955,-61.285515,2018.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,71.33,25.53,1989.0,,,HumanObservation,
Orcinus orca,73.18,16.28,2003.0,,,HumanObservation,
Orcinus orca,68.08,13.92,2012.0,,,HumanObservation,
Orcinus orca,-39.6,148.8,2010.0,439.25,,HumanObservation,
Orcinus orca,59.774078,-149.578047,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.907933,-123.360617,2014.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,58.5165,-6.266667,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.804093,-121.89981,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.441318,-134.992368,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,52.55883,-172.12567,1992.0,,,HumanObservation,"NMML Killer Whale Vessel, Bering Sea, 1992"
Orcinus orca,36.775,-121.888333,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.412772,-134.962125,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.301333,-1.566833,2019.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.966667,-8.033333,1989.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,48.863617,-123.30865,2005.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,-64.143,-63.099833,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-65.129778,-64.046143,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,25.975814,-111.282802,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,51.933266,-131.001698,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.25,15.88,2002.0,,,HumanObservation,
Orcinus orca,60.7527,-176.8667,2002.0,,,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey
Orcinus orca,71.25,24.43,2003.0,,,HumanObservation,
Orcinus orca,48.9397,-123.5306,2019.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,64.117,-22.9,1985.0,,,HumanObservation,JNCC seabird distribution and abundance data (all trips) from ESAS database
Orcinus orca,70.47,16.17,2008.0,,,HumanObservation,
Orcinus orca,54.96476,166.1405,2009.0,,,HumanObservation,Land-based observations of cetaceans in the waters of Beringa Island in 2007-2009
Orcinus orca,56.48101,-132.83887,1993.0,,,HumanObservation,"NMML Harbor Porpoise Vessel, SE Alaska, Fall 1993"
Orcinus orca,71.15,28.25,2013.0,,,HumanObservation,
Orcinus orca,36.825288,-121.947917,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.033333,-5.833333,2003.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
