scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,-63.663639,-56.472944,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,52.86217,-131.784414,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,70.58,23.22,2001.0,,,HumanObservation,
Orcinus orca,58.272222,-136.411388,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.3938,-124.62067,2019.0,1.0,,MachineObservation,
Orcinus orca,-63.008848,-58.387018,2018.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,72.75,-76.4167,1974.0,,,HumanObservation,PIROP Northwest Atlantic 1965-1992
Orcinus orca,13.3833,-61.367,2008.0,,,HumanObservation,Killer whales of the Caribbean Sea 1866-2012
Orcinus orca,59.7,-149.5,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,60.769167,-0.754,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,56.0265,-161.8737,2008.0,,,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey
Orcinus orca,60.581167,-1.3165,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.3,-147.0,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,69.67,19.72,1994.0,,,HumanObservation,
Orcinus orca,-65.2333,64.7667,1992.0,,Antarctica,HumanObservation,
Orcinus orca,35.89383,-5.725167,1999.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,57.102013,-133.82609,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.068167,-1.358167,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.732667,-1.053667,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,58.557517,-134.933315,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.35185,-134.809817,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.9814,-1.374333,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,36.80508,-121.817852,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-42.9299,-64.0964,2025.0,,,HumanObservation,Happywhale - Killer whale in South Atlantic Ocean
Orcinus orca,68.33,15.82,1999.0,,,HumanObservation,
Orcinus orca,57.707083,-5.763633,2008.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-52.93,-58.07,2000.0,,,HumanObservation,UK Royal Navy Marine Mammal Observations
Orcinus orca,50.524444,-5.536944,1993.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,56.316667,-5.9,2000.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,70.066152,21.319387,2024.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,55.557833,-6.290667,2011.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-64.602,-62.73,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.616667,-7.55,1978.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.388933,-1.86665,2013.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,73.05,10.1,2000.0,,,HumanObservation,
Orcinus orca,68.2312,15.5986,2006.0,,,HumanObservation,European Seabirds At Sea (ESAS)
Orcinus orca,36.8,-122.0,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,75.33,15.67,1999.0,,,HumanObservation,
Orcinus orca,-0.75,-90.3,1989.0,,,HumanObservation,Marine mammal sightings off Galápagos
Orcinus orca,58.6245,-3.675667,2010.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.168985,-134.726503,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.492362,-62.538801,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,65.32,12.0,2009.0,,,HumanObservation,
Orcinus orca,58.402847,-134.980055,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.208468,-135.494385,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,35.401462,-121.090292,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.8,-122.0,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.88,10.97,1999.0,,,HumanObservation,
Orcinus orca,53.908133,-167.459475,2019.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,33.518824,-118.203618,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-2.73,-117.6,1988.0,,,HumanObservation,"SWFSC Marine Mammal Survey, MOPS 1988, Cruise 1165"
Orcinus orca,60.3,-147.0,2018.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,48.977067,-123.467133,2015.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,34.2,-120.0,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,49.017383,-123.585133,2013.0,,Canada,HumanObservation,British Columbia Cetacean Sightings Network Observations
Orcinus orca,50.289183,-3.5488,2014.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
